ReactionFile,LLM,Strategy,Parsed
gpt-5/few_shots_AND_grammar_AND_helper/FamiliesToPersons_DeletedMember.reactions,gpt-5,few_shots_AND_grammar_AND_helper,True
gpt-5/few_shots_AND_grammar_AND_helper/NetworkToGraph_ComponentInsertedIntoSystem.reactions,gpt-5,few_shots_AND_grammar_AND_helper,False
gpt-5/only_prompt/FamiliesToPersons_InsertedDaughter.reactions,gpt-5,only_prompt,False
gpt-5/only_prompt/NetworkToGraph_ComponentRenamed.reactions,gpt-5,only_prompt,False
gpt-5/only_prompt/NetworkToGraph_ComponentDeleted.reactions,gpt-5,only_prompt,False
gpt-5/only_prompt/AmaltheaToAscet_TaskCreated.reactions,gpt-5,only_prompt,False
gpt-5/only_prompt/FamiliesToPersons_DeletedFamily.reactions,gpt-5,only_prompt,False
gpt-5/only_prompt/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,gpt-5,only_prompt,False
gpt-5/only_prompt/NetworkToGraph_CreateAndRegisterRoot.reactions,gpt-5,only_prompt,False
gpt-5/only_prompt/AmaltheaToAscet_TaskDeleted.reactions,gpt-5,only_prompt,False
gpt-5/only_prompt/FamiliesToPersons_CreatedFather.reactions,gpt-5,only_prompt,False
gpt-5/only_prompt/FamiliesToPersons_InsertedFamilyRegister.reactions,gpt-5,only_prompt,False
gpt-5/only_prompt/FamiliesToPersons_DeletedMember.reactions,gpt-5,only_prompt,False
gpt-5/only_prompt/NetworkToGraph_ComponentInsertedIntoSystem.reactions,gpt-5,only_prompt,False
gpt-5/grammar/FamiliesToPersons_InsertedDaughter.reactions,gpt-5,grammar,False
gpt-5/grammar/NetworkToGraph_ComponentRenamed.reactions,gpt-5,grammar,False
gpt-5/grammar/NetworkToGraph_ComponentDeleted.reactions,gpt-5,grammar,False
gpt-5/grammar/AmaltheaToAscet_TaskCreated.reactions,gpt-5,grammar,False
gpt-5/grammar/FamiliesToPersons_DeletedFamily.reactions,gpt-5,grammar,False
gpt-5/grammar/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,gpt-5,grammar,False
gpt-5/grammar/NetworkToGraph_CreateAndRegisterRoot.reactions,gpt-5,grammar,False
gpt-5/grammar/AmaltheaToAscet_TaskDeleted.reactions,gpt-5,grammar,True
gpt-5/grammar/FamiliesToPersons_CreatedFather.reactions,gpt-5,grammar,False
gpt-5/grammar/FamiliesToPersons_InsertedFamilyRegister.reactions,gpt-5,grammar,False
gpt-5/grammar/FamiliesToPersons_DeletedMember.reactions,gpt-5,grammar,False
gpt-5/grammar/NetworkToGraph_ComponentInsertedIntoSystem.reactions,gpt-5,grammar,False
gpt-5/few_shots_AND_grammar/FamiliesToPersons_InsertedDaughter.reactions,gpt-5,few_shots_AND_grammar,True
gpt-5/few_shots_AND_grammar/NetworkToGraph_ComponentRenamed.reactions,gpt-5,few_shots_AND_grammar,True
gpt-5/few_shots_AND_grammar/NetworkToGraph_ComponentDeleted.reactions,gpt-5,few_shots_AND_grammar,True
gpt-5/few_shots_AND_grammar/AmaltheaToAscet_TaskCreated.reactions,gpt-5,few_shots_AND_grammar,False
gpt-5/few_shots_AND_grammar/FamiliesToPersons_DeletedFamily.reactions,gpt-5,few_shots_AND_grammar,True
gpt-5/few_shots_AND_grammar/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,gpt-5,few_shots_AND_grammar,True
gpt-5/few_shots_AND_grammar/NetworkToGraph_CreateAndRegisterRoot.reactions,gpt-5,few_shots_AND_grammar,True
gpt-5/few_shots_AND_grammar/AmaltheaToAscet_TaskDeleted.reactions,gpt-5,few_shots_AND_grammar,True
gpt-5/few_shots_AND_grammar/FamiliesToPersons_CreatedFather.reactions,gpt-5,few_shots_AND_grammar,False
gpt-5/few_shots_AND_grammar/FamiliesToPersons_InsertedFamilyRegister.reactions,gpt-5,few_shots_AND_grammar,True
gpt-5/few_shots_AND_grammar/FamiliesToPersons_DeletedMember.reactions,gpt-5,few_shots_AND_grammar,True
gpt-5/few_shots_AND_grammar/NetworkToGraph_ComponentInsertedIntoSystem.reactions,gpt-5,few_shots_AND_grammar,False
claude-sonnet-4/few_shot/FamiliesToPersons_InsertedDaughter.reactions,claude-sonnet-4,few_shot,False
claude-sonnet-4/few_shot/NetworkToGraph_ComponentRenamed.reactions,claude-sonnet-4,few_shot,True
claude-sonnet-4/few_shot/NetworkToGraph_ComponentDeleted.reactions,claude-sonnet-4,few_shot,True
claude-sonnet-4/few_shot/AmaltheaToAscet_TaskCreated.reactions,claude-sonnet-4,few_shot,False
claude-sonnet-4/few_shot/FamiliesToPersons_DeletedFamily.reactions,claude-sonnet-4,few_shot,True
claude-sonnet-4/few_shot/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,claude-sonnet-4,few_shot,True
claude-sonnet-4/few_shot/NetworkToGraph_CreateAndRegisterRoot.reactions,claude-sonnet-4,few_shot,True
claude-sonnet-4/few_shot/AmaltheaToAscet_TaskDeleted.reactions,claude-sonnet-4,few_shot,True
claude-sonnet-4/few_shot/FamiliesToPersons_CreatedFather.reactions,claude-sonnet-4,few_shot,False
claude-sonnet-4/few_shot/FamiliesToPersons_InsertedFamilyRegister.reactions,claude-sonnet-4,few_shot,True
claude-sonnet-4/few_shot/FamiliesToPersons_DeletedMember.reactions,claude-sonnet-4,few_shot,True
claude-sonnet-4/few_shot/NetworkToGraph_ComponentInsertedIntoSystem.reactions,claude-sonnet-4,few_shot,False
claude-sonnet-4/few_shots_AND_grammar_AND_helper/FamiliesToPersons_InsertedDaughter.reactions,claude-sonnet-4,few_shots_AND_grammar_AND_helper,True
claude-sonnet-4/few_shots_AND_grammar_AND_helper/NetworkToGraph_ComponentRenamed.reactions,claude-sonnet-4,few_shots_AND_grammar_AND_helper,True
claude-sonnet-4/few_shots_AND_grammar_AND_helper/NetworkToGraph_ComponentDeleted.reactions,claude-sonnet-4,few_shots_AND_grammar_AND_helper,True
claude-sonnet-4/few_shots_AND_grammar_AND_helper/AmaltheaToAscet_TaskCreated.reactions,claude-sonnet-4,few_shots_AND_grammar_AND_helper,True
claude-sonnet-4/few_shots_AND_grammar_AND_helper/FamiliesToPersons_DeletedFamily.reactions,claude-sonnet-4,few_shots_AND_grammar_AND_helper,True
claude-sonnet-4/few_shots_AND_grammar_AND_helper/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,claude-sonnet-4,few_shots_AND_grammar_AND_helper,True
claude-sonnet-4/few_shots_AND_grammar_AND_helper/NetworkToGraph_CreateAndRegisterRoot.reactions,claude-sonnet-4,few_shots_AND_grammar_AND_helper,True
claude-sonnet-4/few_shots_AND_grammar_AND_helper/AmaltheaToAscet_TaskDeleted.reactions,claude-sonnet-4,few_shots_AND_grammar_AND_helper,True
claude-sonnet-4/few_shots_AND_grammar_AND_helper/FamiliesToPersons_CreatedFather.reactions,claude-sonnet-4,few_shots_AND_grammar_AND_helper,False
claude-sonnet-4/few_shots_AND_grammar_AND_helper/FamiliesToPersons_InsertedFamilyRegister.reactions,claude-sonnet-4,few_shots_AND_grammar_AND_helper,True
claude-sonnet-4/few_shots_AND_grammar_AND_helper/FamiliesToPersons_DeletedMember.reactions,claude-sonnet-4,few_shots_AND_grammar_AND_helper,True
claude-sonnet-4/few_shots_AND_grammar_AND_helper/NetworkToGraph_ComponentInsertedIntoSystem.reactions,claude-sonnet-4,few_shots_AND_grammar_AND_helper,False
claude-sonnet-4/only_prompt/FamiliesToPersons_InsertedDaughter.reactions,claude-sonnet-4,only_prompt,False
claude-sonnet-4/only_prompt/NetworkToGraph_ComponentRenamed.reactions,claude-sonnet-4,only_prompt,False
claude-sonnet-4/only_prompt/NetworkToGraph_ComponentDeleted.reactions,claude-sonnet-4,only_prompt,False
claude-sonnet-4/only_prompt/AmaltheaToAscet_TaskCreated.reactions,claude-sonnet-4,only_prompt,False
claude-sonnet-4/only_prompt/FamiliesToPersons_DeletedFamily.reactions,claude-sonnet-4,only_prompt,False
claude-sonnet-4/only_prompt/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,claude-sonnet-4,only_prompt,False
claude-sonnet-4/only_prompt/NetworkToGraph_CreateAndRegisterRoot.reactions,claude-sonnet-4,only_prompt,False
claude-sonnet-4/only_prompt/AmaltheaToAscet_TaskDeleted.reactions,claude-sonnet-4,only_prompt,False
claude-sonnet-4/only_prompt/FamiliesToPersons_CreatedFather.reactions,claude-sonnet-4,only_prompt,False
claude-sonnet-4/only_prompt/FamiliesToPersons_InsertedFamilyRegister.reactions,claude-sonnet-4,only_prompt,False
claude-sonnet-4/only_prompt/FamiliesToPersons_DeletedMember.reactions,claude-sonnet-4,only_prompt,False
claude-sonnet-4/only_prompt/NetworkToGraph_ComponentInsertedIntoSystem.reactions,claude-sonnet-4,only_prompt,False
claude-sonnet-4/grammar/FamiliesToPersons_InsertedDaughter.reactions,claude-sonnet-4,grammar,True
claude-sonnet-4/grammar/NetworkToGraph_ComponentRenamed.reactions,claude-sonnet-4,grammar,True
claude-sonnet-4/grammar/NetworkToGraph_ComponentDeleted.reactions,claude-sonnet-4,grammar,True
claude-sonnet-4/grammar/AmaltheaToAscet_TaskCreated.reactions,claude-sonnet-4,grammar,True
claude-sonnet-4/grammar/FamiliesToPersons_DeletedFamily.reactions,claude-sonnet-4,grammar,False
claude-sonnet-4/grammar/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,claude-sonnet-4,grammar,True
claude-sonnet-4/grammar/NetworkToGraph_CreateAndRegisterRoot.reactions,claude-sonnet-4,grammar,False
claude-sonnet-4/grammar/AmaltheaToAscet_TaskDeleted.reactions,claude-sonnet-4,grammar,True
claude-sonnet-4/grammar/FamiliesToPersons_CreatedFather.reactions,claude-sonnet-4,grammar,False
claude-sonnet-4/grammar/FamiliesToPersons_InsertedFamilyRegister.reactions,claude-sonnet-4,grammar,True
claude-sonnet-4/grammar/FamiliesToPersons_DeletedMember.reactions,claude-sonnet-4,grammar,True
claude-sonnet-4/grammar/NetworkToGraph_ComponentInsertedIntoSystem.reactions,claude-sonnet-4,grammar,False
claude-sonnet-4/few_shots_AND_grammar/FamiliesToPersons_InsertedDaughter.reactions,claude-sonnet-4,few_shots_AND_grammar,True
claude-sonnet-4/few_shots_AND_grammar/NetworkToGraph_ComponentRenamed.reactions,claude-sonnet-4,few_shots_AND_grammar,True
claude-sonnet-4/few_shots_AND_grammar/NetworkToGraph_ComponentDeleted.reactions,claude-sonnet-4,few_shots_AND_grammar,True
claude-sonnet-4/few_shots_AND_grammar/AmaltheaToAscet_TaskCreated.reactions,claude-sonnet-4,few_shots_AND_grammar,True
claude-sonnet-4/few_shots_AND_grammar/FamiliesToPersons_DeletedFamily.reactions,claude-sonnet-4,few_shots_AND_grammar,True
claude-sonnet-4/few_shots_AND_grammar/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,claude-sonnet-4,few_shots_AND_grammar,True
claude-sonnet-4/few_shots_AND_grammar/NetworkToGraph_CreateAndRegisterRoot.reactions,claude-sonnet-4,few_shots_AND_grammar,True
claude-sonnet-4/few_shots_AND_grammar/AmaltheaToAscet_TaskDeleted.reactions,claude-sonnet-4,few_shots_AND_grammar,True
claude-sonnet-4/few_shots_AND_grammar/FamiliesToPersons_CreatedFather.reactions,claude-sonnet-4,few_shots_AND_grammar,False
claude-sonnet-4/few_shots_AND_grammar/FamiliesToPersons_InsertedFamilyRegister.reactions,claude-sonnet-4,few_shots_AND_grammar,True
claude-sonnet-4/few_shots_AND_grammar/FamiliesToPersons_DeletedMember.reactions,claude-sonnet-4,few_shots_AND_grammar,True
claude-sonnet-4/few_shots_AND_grammar/NetworkToGraph_ComponentInsertedIntoSystem.reactions,claude-sonnet-4,few_shots_AND_grammar,False
gemini-2-5-pro/few_shot/FamiliesToPersons_InsertedDaughter.reactions,gemini-2-5-pro,few_shot,False
gemini-2-5-pro/few_shot/NetworkToGraph_ComponentRenamed.reactions,gemini-2-5-pro,few_shot,False
gemini-2-5-pro/few_shot/NetworkToGraph_ComponentDeleted.reactions,gemini-2-5-pro,few_shot,True
gemini-2-5-pro/few_shot/AmaltheaToAscet_TaskCreated.reactions,gemini-2-5-pro,few_shot,False
gemini-2-5-pro/few_shot/FamiliesToPersons_DeletedFamily.reactions,gemini-2-5-pro,few_shot,False
gemini-2-5-pro/few_shot/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,gemini-2-5-pro,few_shot,True
gemini-2-5-pro/few_shot/NetworkToGraph_CreateAndRegisterRoot.reactions,gemini-2-5-pro,few_shot,True
gemini-2-5-pro/few_shot/AmaltheaToAscet_TaskDeleted.reactions,gemini-2-5-pro,few_shot,False
gemini-2-5-pro/few_shot/FamiliesToPersons_CreatedFather.reactions,gemini-2-5-pro,few_shot,False
gemini-2-5-pro/few_shot/FamiliesToPersons_InsertedFamilyRegister.reactions,gemini-2-5-pro,few_shot,False
gemini-2-5-pro/few_shot/FamiliesToPersons_DeletedMember.reactions,gemini-2-5-pro,few_shot,False
gemini-2-5-pro/few_shot/NetworkToGraph_ComponentInsertedIntoSystem.reactions,gemini-2-5-pro,few_shot,False
gemini-2-5-pro/few_shots_AND_grammar_AND_helper/FamiliesToPersons_InsertedDaughter.reactions,gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro/few_shots_AND_grammar_AND_helper/NetworkToGraph_ComponentRenamed.reactions,gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro/few_shots_AND_grammar_AND_helper/NetworkToGraph_ComponentDeleted.reactions,gemini-2-5-pro,few_shots_AND_grammar_AND_helper,True
gemini-2-5-pro/few_shots_AND_grammar_AND_helper/AmaltheaToAscet_TaskCreated.reactions,gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro/few_shots_AND_grammar_AND_helper/FamiliesToPersons_DeletedFamily.reactions,gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro/few_shots_AND_grammar_AND_helper/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,gemini-2-5-pro,few_shots_AND_grammar_AND_helper,True
gemini-2-5-pro/few_shots_AND_grammar_AND_helper/NetworkToGraph_CreateAndRegisterRoot.reactions,gemini-2-5-pro,few_shots_AND_grammar_AND_helper,True
gemini-2-5-pro/few_shots_AND_grammar_AND_helper/AmaltheaToAscet_TaskDeleted.reactions,gemini-2-5-pro,few_shots_AND_grammar_AND_helper,True
gemini-2-5-pro/few_shots_AND_grammar_AND_helper/FamiliesToPersons_CreatedFather.reactions,gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro/few_shots_AND_grammar_AND_helper/FamiliesToPersons_InsertedFamilyRegister.reactions,gemini-2-5-pro,few_shots_AND_grammar_AND_helper,True
gemini-2-5-pro/few_shots_AND_grammar_AND_helper/FamiliesToPersons_DeletedMember.reactions,gemini-2-5-pro,few_shots_AND_grammar_AND_helper,True
gemini-2-5-pro/few_shots_AND_grammar_AND_helper/NetworkToGraph_ComponentInsertedIntoSystem.reactions,gemini-2-5-pro,few_shots_AND_grammar_AND_helper,False
gemini-2-5-pro/only_prompt/FamiliesToPersons_InsertedDaughter.reactions,gemini-2-5-pro,only_prompt,False
gemini-2-5-pro/only_prompt/NetworkToGraph_ComponentRenamed.reactions,gemini-2-5-pro,only_prompt,False
gemini-2-5-pro/only_prompt/NetworkToGraph_ComponentDeleted.reactions,gemini-2-5-pro,only_prompt,False
gemini-2-5-pro/only_prompt/AmaltheaToAscet_TaskCreated.reactions,gemini-2-5-pro,only_prompt,False
gemini-2-5-pro/only_prompt/FamiliesToPersons_DeletedFamily.reactions,gemini-2-5-pro,only_prompt,False
gemini-2-5-pro/only_prompt/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,gemini-2-5-pro,only_prompt,False
gemini-2-5-pro/only_prompt/NetworkToGraph_CreateAndRegisterRoot.reactions,gemini-2-5-pro,only_prompt,False
gemini-2-5-pro/only_prompt/AmaltheaToAscet_TaskDeleted.reactions,gemini-2-5-pro,only_prompt,False
gemini-2-5-pro/only_prompt/FamiliesToPersons_CreatedFather.reactions,gemini-2-5-pro,only_prompt,False
gemini-2-5-pro/only_prompt/FamiliesToPersons_InsertedFamilyRegister.reactions,gemini-2-5-pro,only_prompt,False
gemini-2-5-pro/only_prompt/FamiliesToPersons_DeletedMember.reactions,gemini-2-5-pro,only_prompt,False
gemini-2-5-pro/only_prompt/NetworkToGraph_ComponentInsertedIntoSystem.reactions,gemini-2-5-pro,only_prompt,False
gemini-2-5-pro/grammar/FamiliesToPersons_InsertedDaughter.reactions,gemini-2-5-pro,grammar,True
gemini-2-5-pro/grammar/NetworkToGraph_ComponentRenamed.reactions,gemini-2-5-pro,grammar,True
gemini-2-5-pro/grammar/NetworkToGraph_ComponentDeleted.reactions,gemini-2-5-pro,grammar,False
gemini-2-5-pro/grammar/AmaltheaToAscet_TaskCreated.reactions,gemini-2-5-pro,grammar,True
gemini-2-5-pro/grammar/FamiliesToPersons_DeletedFamily.reactions,gemini-2-5-pro,grammar,True
gemini-2-5-pro/grammar/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,gemini-2-5-pro,grammar,True
gemini-2-5-pro/grammar/NetworkToGraph_CreateAndRegisterRoot.reactions,gemini-2-5-pro,grammar,True
gemini-2-5-pro/grammar/AmaltheaToAscet_TaskDeleted.reactions,gemini-2-5-pro,grammar,False
gemini-2-5-pro/grammar/FamiliesToPersons_CreatedFather.reactions,gemini-2-5-pro,grammar,True
gemini-2-5-pro/grammar/FamiliesToPersons_InsertedFamilyRegister.reactions,gemini-2-5-pro,grammar,True
gemini-2-5-pro/grammar/FamiliesToPersons_DeletedMember.reactions,gemini-2-5-pro,grammar,True
gemini-2-5-pro/grammar/NetworkToGraph_ComponentInsertedIntoSystem.reactions,gemini-2-5-pro,grammar,True
gemini-2-5-pro/few_shots_AND_grammar/FamiliesToPersons_InsertedDaughter.reactions,gemini-2-5-pro,few_shots_AND_grammar,False
gemini-2-5-pro/few_shots_AND_grammar/NetworkToGraph_ComponentRenamed.reactions,gemini-2-5-pro,few_shots_AND_grammar,True
gemini-2-5-pro/few_shots_AND_grammar/NetworkToGraph_ComponentDeleted.reactions,gemini-2-5-pro,few_shots_AND_grammar,True
gemini-2-5-pro/few_shots_AND_grammar/AmaltheaToAscet_TaskCreated.reactions,gemini-2-5-pro,few_shots_AND_grammar,False
gemini-2-5-pro/few_shots_AND_grammar/FamiliesToPersons_DeletedFamily.reactions,gemini-2-5-pro,few_shots_AND_grammar,False
gemini-2-5-pro/few_shots_AND_grammar/AmaltheaToAscet_ComponentContainerInsertedAsRoot.reactions,gemini-2-5-pro,few_shots_AND_grammar,True
gemini-2-5-pro/few_shots_AND_grammar/NetworkToGraph_CreateAndRegisterRoot.reactions,gemini-2-5-pro,few_shots_AND_grammar,True
gemini-2-5-pro/few_shots_AND_grammar/AmaltheaToAscet_TaskDeleted.reactions,gemini-2-5-pro,few_shots_AND_grammar,True
gemini-2-5-pro/few_shots_AND_grammar/FamiliesToPersons_CreatedFather.reactions,gemini-2-5-pro,few_shots_AND_grammar,False
gemini-2-5-pro/few_shots_AND_grammar/FamiliesToPersons_InsertedFamilyRegister.reactions,gemini-2-5-pro,few_shots_AND_grammar,True
gemini-2-5-pro/few_shots_AND_grammar/FamiliesToPersons_DeletedMember.reactions,gemini-2-5-pro,few_shots_AND_grammar,True
gemini-2-5-pro/few_shots_AND_grammar/NetworkToGraph_ComponentInsertedIntoSystem.reactions,gemini-2-5-pro,few_shots_AND_grammar,False
